"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 29 06:46:56 CST 2023","Mon May 29 06:46:56 CST 2023","100","test_case","test_regest","Test_Regest","","","test_regest_cussess",""
"passed","Sun May 28 10:53:47 CST 2023","Sun May 28 10:53:47 CST 2023","97","","test_regest","Test_Regest","","","test_regest_re_run",""
"passed","Mon May 29 06:46:55 CST 2023","Mon May 29 06:46:56 CST 2023","216","test_case","test_loadfile","","","","test_loadimage_cussess_jpg",""
"failed","Sun May 28 10:53:47 CST 2023","Sun May 28 10:53:47 CST 2023","104","","test_regest","Test_Regest","","","test_regest_cussess",""
"passed","Mon May 29 06:46:55 CST 2023","Mon May 29 06:46:55 CST 2023","204","test_case","test_loadfile","","","","test_loadimage_cussess_png",""
"passed","Mon May 29 06:46:56 CST 2023","Mon May 29 06:46:56 CST 2023","105","test_case","test_login","Test_Login_A","","","test_login_A_2___login002____禁止登录的帐号登录失败测试____19271358647____123456____该账户已被禁止登录_____p2__",""
"passed","Sun May 28 10:53:47 CST 2023","Sun May 28 10:53:47 CST 2023","104","","test_regest","Test_Regest","","","test_regest_name_empty",""
"passed","Mon May 29 06:46:56 CST 2023","Mon May 29 06:46:56 CST 2023","105","test_case","test_login","Test_Login_A","","","test_login_A_3___login003____不存在的帐号登录失败测试____13088888888____123456____帐户名或密码错误____p2__",""
"passed","Mon May 29 06:46:56 CST 2023","Mon May 29 06:46:56 CST 2023","102","test_case","test_regest","Test_Regest","","","test_regest_re_run",""
"failed","Mon May 29 06:46:56 CST 2023","Mon May 29 06:46:56 CST 2023","139","test_case","test_login","Test_Login_A","","","test_login_A_1___login001____登录成功测试____19111111116____123456____登录成功____p1__",""
"passed","Mon May 29 06:46:56 CST 2023","Mon May 29 06:46:56 CST 2023","107","test_case","test_regest","Test_Regest","","","test_regest_name_empty",""
